,CPUE [ln(catch+1],
year,abundance,species_group
1999,2873.656,Aequorea
2000,735.459,Aequorea
2001,86.197,Aequorea
2002,651.493,Aequorea
2003,176.657,Aequorea
2004,348.493,Aequorea
2005,14.565,Aequorea
2006,1359.337,Aequorea
2007,11.074,Aequorea
2008,189.805,Aequorea
2009,242.846,Aequorea
2010,57.195,Aequorea
2011,48.463,Aequorea
2012,2099.585,Aequorea
2013,32.07,Aequorea
2014,697.339,Aequorea
2015,2503.31,Aequorea
2016,173.176,Aequorea
1999,15.65,Chrysaora
2000,74.25,Chrysaora
2001,3703.19,Chrysaora
2002,3432.01,Chrysaora
2003,1279.25,Chrysaora
2004,10919.47,Chrysaora
2005,611.97,Chrysaora
2006,3093.27,Chrysaora
2007,4104.27,Chrysaora
2008,3209.17,Chrysaora
2009,1569.31,Chrysaora
2010,222.27,Chrysaora
2011,394.59,Chrysaora
2012,617.34,Chrysaora
2013,1787.69,Chrysaora
2014,942.73,Chrysaora
2015,0.48,Chrysaora
2016,4.631,Chrysaora